"","growthform","height","LDMC","leafN","leafP","leafS","SLA","nutrientuptake","raunkiaer","clonality","leafsize","dispersal","seedmass","resprouting","pollination","lifespan"
"Achi_mill","Semi basal",0.09727,163.1263536,3.4,0.31,0.21,15.63765641,"Mycorrhizal ","Chamaephyte","Clonal belowground",313.514835,"Wind",0.16,"Yes","Hymenoptera (bees)","Perennial"
"Agro_capi","Semi basal",0.191,302.7657218,2.5,0.25,0.18,21.84662696,"Mycorrhizal ","Hemicryptophyte","Clonal belowground",141.7801858,"Wind",0.058,"Yes","Wind","Perennial"
"Anth_odor","Tussock",0.0635,280.2013025,2,0.24,0.15,24.54766143,"Mycorrhizal ","Hemicryptophyte","None",161.439036,"Passive",0.56,"Yes","Wind","Perennial"
"Apha_arve","Semi basal",0.0447,185.9606026,1.7,0.29,0.18,18.5873826,"Mycorrhizal ","Therophyte","None",20.89516361,"Passive",0.159,"No","Self","Annual"
"Arre_elat","Tussock",0.564,311.9551007,2.6,0.256,0.174,20.7773858,"Mycorrhizal ","Hemicryptophyte","Clonal belowground",805.4288288,"Passive",2.9,"Yes","Wind","Perennial"
"Brac_bell","Short basal",0.00338,223.5052244,1.2,0.33,0.22,6.549106752,"Mycorrhizal ","Hemicryptophyte","None",216.33835,"Wind",0.0524,"Yes","Hymenoptera (bees)","Perennial"
"Brom_tect","Semi basal",0.30075,286.5440303,2.5,0.19,0.19,21.10224286,"Mycorrhizal ","Therophyte","None",732.6412217,"Exozoochory",2.4,"No","Wind","Annual"
"Caps_burs","Semi basal",0.15,130.5997082,4.8,0.67,0.58,40.88654732,"Mycorrhizal ","Therophyte","None",586.4675425,"Endozoochory",0.07,"No","Hymenoptera (bees)","Annual"
"Care_brev","Short basal",0.03389,354.9821988,1.7,0.16,0.11,14.42644494,"Hairy root clusters","Hemicryptophyte","Clonal belowground",42.64405848,"Passive",NA,"Yes","Wind","Perennial"
"Care_muel","Tussock",0.14227,418.5100629,1.4,0.14,0.12,9.522984763,"Hairy root clusters","Hemicryptophyte","Clonal belowground",96.2119374,"Passive",NA,"Yes","Wind","Perennial"
"Carm_vexi","Leafless shrub or tree",0.0545,444.5583537,1.6,0.09,0.06,1.804554855,"Nitrogen fixer","Chamaephyte","None",83.01383097,"Passive",4.5238,"Yes","Hymenoptera (bees)","Perennial"
"Celm_grac","Short basal",0.04364,315.6915167,1.6,0.2,0.11,6.493609761,"Mycorrhizal ","Hemicryptophyte","None",61.31290333,"Wind",0.78,"Yes","Hymenoptera (bees)","Perennial"
"Cera_font","Erect leafy",0.04773,NA,NA,NA,NA,26.4420972,"Mycorrhizal ","Chamaephyte","Clonal aboveground",27.0504432,"Passive",0.12,"Yes","Hymenoptera (bees)","Perennial"
"Colo_brev","Cushion",0.00791,419.1094771,1.1,0.25,0.09,11.40447513,"Mycorrhizal ","Chamaephyte","None",1.019327642,"Passive",NA,"No","Flies","Perennial"
"Copr_petr","Cushion",0.00436,310.937778,1.5,0.17,0.1,10.17255514,"Mycorrhizal ","Chamaephyte","Clonal aboveground",3.426140479,"Endozoochory",3.8706,"Yes","Wind","Perennial"
"Dact_glom","Tussock",0.494,283.2349471,2.8,0.25,0.19,23.28802422,"Mycorrhizal ","Hemicryptophyte","None",1119.103167,"Passive",0.47,"Yes","Wind","Perennial"
"Elym_falc","Tussock",0.15,335.5111909,2.2,0.18,0.24,11.37978022,"Mycorrhizal ","Hemicryptophyte","Clonal aboveground",84.39098812,"Exozoochory",NA,"Yes","Wind","Perennial"
"Erod_cicu","Semi basal",0.22,163.3196975,3.9,0.29,0.29,33.92498106,"Mycorrhizal ","Therophyte","None",162.0628933,"Passive",1.45,"No","Hymenoptera (bees)","Annual"
"Fest_nova","Tussock",0.42667,387.5040833,1.6,0.18,0.1,10.11108633,"Mycorrhizal ","Hemicryptophyte","None",97.01933217,"Passive",0.4375,"Yes","Wind","Perennial"
"Fest_rubr","Tussock",0.26727,325.0833778,2.16,0.228,0.144,16.32199768,"Mycorrhizal ","Hemicryptophyte","Clonal belowground",186.1069423,"Passive",0.89,"Yes","Wind","Perennial"
"Gera_sess","Short basal",0.006,279.6354632,2,0.27,0.13,12.91376058,"Mycorrhizal ","Chamaephyte","None",54.64436216,"Passive",7,"Yes","Hymenoptera (bees)","Perennial"
"Hier_caes","Short basal",0.088,153.3535001,2.3,0.29,0.12,23.17442359,"Mycorrhizal ","Hemicryptophyte","Clonal aboveground",722.2196672,"Wind",0.0872,"Yes","Hymenoptera (bees)","Perennial"
"Hier_pilo","Short basal",0.008,207.055292,2.775,0.3875,0.1875,16.11851145,"Mycorrhizal ","Hemicryptophyte","Clonal aboveground",179.4410373,"Wind",0.0657,"Yes","Hymenoptera (bees)","Perennial"
"Hier_prae","Short basal",0.0548,174.1181537,1.7,0.23,0.1,15.41536722,"Mycorrhizal ","Hemicryptophyte","Clonal aboveground",290.19451,"Wind",NA,"Yes","Hymenoptera (bees)","Perennial"
"Holc_lana","Semi basal",0.115,265.4058075,2.7,0.3,0.19,26.97305398,"Mycorrhizal ","Hemicryptophyte","Clonal aboveground",419.9540277,"Wind",0.35,"Yes","Wind","Perennial"
"Leuc_fras","Erect leafy",0.0288,497.6414751,1.1,0.15,0.08,9.047371692,"Mycorrhizal ","Chamaephyte","Clonal aboveground",4.471229687,"Endozoochory",16.3,"Yes","Hymenoptera (bees)","Perennial"
"Lotu_corn","Erect leafy",0.069,197.6599075,3.1,0.18,0.17,19.58751871,"Nitrogen fixer","Hemicryptophyte","Clonal belowground",278.029744,"Passive",1.278,"Yes","Hymenoptera (bees)","Perennial"
"Lupi_poly","Semi basal",0.402,149.0516938,4.4,0.31,0.21,14.95443941,"Nitrogen fixer","Hemicryptophyte","None",8382.267175,"Passive",21.2,"Yes","Hymenoptera (bees)","Perennial"
"Luzu_rufa","Short basal",0.04375,313.6481569,1.7,0.17,0.1,13.57978851,"Hairy root clusters","Hemicryptophyte","None",77.84407407,"Passive",0.2039,"Yes","Wind","Perennial"
"Malv_parv","Semi basal",0.04233,160.8263726,5.2,0.45,0.48,20.45593828,"Mycorrhizal ","Therophyte","None",468.4142417,"Passive",1.8107,"No","Hymenoptera (bees)","Annual"
"Medi_sati","Erect leafy",0.2325,223.3945149,3.7,0.27,0.18,24.53654319,"Nitrogen fixer","Chamaephyte","Clonal belowground",270.3576042,"Passive",2,"Yes","Hymenoptera (bees)","Perennial"
"Myos_stri","Semi basal",0.04325,171.6185791,1.5,0.36,0.12,33.23385416,"Mycorrhizal ","Therophyte","None",42.48818764,"Passive",NA,"No","Hymenoptera (bees)","Annual"
"Oreo_cole","Short basal",0.0041,234.6492336,2.5,0.38,0.12,10.92457029,"Mycorrhizal ","Chamaephyte","Clonal belowground",59.481044,"Passive",0.5827,"Yes","Hymenoptera (bees)","Perennial"
"Phle_prat","Semi basal",0.304,308.8669235,2.6,0.29,0.15,20.53818116,"Mycorrhizal ","Hemicryptophyte","None",729.4270112,"Passive",0.2,"Yes","Wind","Perennial"
"Pime_oreo","Cushion",0.03093,329.6576713,1.7,0.2,0.12,10.98393831,"Mycorrhizal ","Chamaephyte","None",7.274254903,"Passive",2,"Yes","Hymenoptera (bees)","Perennial"
"Poa_cole","Tussock",0.2375,409.6273274,1.5,0.15,0.16,8.020270645,"Mycorrhizal ","Hemicryptophyte","None",64.61078992,"Passive",NA,"Yes","Wind","Perennial"
"Poa_mani","Tussock",0.0126,427.2501929,1.2,0.17,0.09,9.916916697,"Mycorrhizal ","Hemicryptophyte","None",3.800682159,"Passive",NA,"Yes","Wind","Perennial"
"Poa_prat","Semi basal",0.20731,323.3990212,2.42,0.24,0.178,18.15067526,"Mycorrhizal ","Hemicryptophyte","Clonal belowground",325.8246992,"Passive",0.2,"Yes","Wind","Perennial"
"Pter_veno","Short basal",0.055,NA,NA,NA,NA,NA,"Mycorrhizal ","Geophyte","Clonal belowground",NA,"Passive",NA,"Yes","Flies","Perennial"
"Pyrr_exig","Short basal",0.023,353.098849,2.125,0.18,0.1675,7.994362155,"Mycorrhizal ","Hemicryptophyte","Clonal belowground",13.00177086,"Passive",NA,"Yes","Wind","Perennial"
"Raou_hook","Cushion",0.0066,357.2052367,1.1,0.17,0.1,13.99679972,"Mycorrhizal ","Chamaephyte","Clonal aboveground",3.845168669,"Wind",0.0293,"Yes","Flies","Perennial"
"Raou_subs","Cushion",0.00645,331.2941552,1.2,0.2,0.12,15.01658473,"Mycorrhizal ","Chamaephyte","Clonal aboveground",2.673741102,"Wind",0.0346,"Yes","Hymenoptera (bees)","Perennial"
"Rume_acet","Semi basal",0.02442,164.6203277,2.1,0.28,0.15,17.15688482,"No obvious special uptake strategy","Hemicryptophyte","Clonal belowground",90.10098125,"Passive",0.465,"Yes","Wind","Perennial"
"Sche_phoe","Semi basal",0.288,291.6938197,2.1,0.32,0.14,17.97856513,"Mycorrhizal ","Hemicryptophyte","Clonal belowground",735.1005758,"Passive",2.17,"Yes","Wind","Perennial"
"Stac_mini","Short basal",0.00364,250.6355034,2.1,0.22,0.15,12.75942538,"Mycorrhizal ","Hemicryptophyte","Clonal belowground",3.657625661,"Passive",2,"Yes","Flies","Perennial"
"Tara_offi","Short basal",0.1397,134.2421988,3,0.3,0.24,28.59337632,"Mycorrhizal ","Hemicryptophyte","None",1563.363813,"Wind",0.5,"Yes","Self","Perennial"
"Trif_ambi","Short basal",0.12945,192.2217685,4.08,0.3,0.214,20.43166735,"Nitrogen fixer","Hemicryptophyte","Clonal belowground",1476.620755,"Passive",1.38,"Yes","Hymenoptera (bees)","Perennial"
"Trif_hybr","Short basal",0.108,202.2064672,3.7,0.24,0.19,25.11467441,"Nitrogen fixer","Hemicryptophyte","None",777.6406968,"Passive",0.7,"Yes","Hymenoptera (bees)","Perennial"
"Trif_medi","Short basal",0.0606,253.6724167,2.6,0.18,0.12,16.02657696,"Nitrogen fixer","Hemicryptophyte","Clonal belowground",460.0213612,"Passive",1.6,"Yes","Hymenoptera (bees)","Perennial"
"Trif_prat","Short basal",0.125,179.8248995,4.2,0.3,0.19,24.72486146,"Nitrogen fixer","Hemicryptophyte","None",828.4680944,"Passive",1.7,"Yes","Hymenoptera (bees)","Perennial"
"Trif_repe","Short basal",0.0419,138.9331426,4.4,0.27,0.23,29.46942913,"Nitrogen fixer","Hemicryptophyte","Clonal aboveground",388.1770299,"Passive",0.56,"Yes","Hymenoptera (bees)","Perennial"
"Verb_thap","Semi basal",0.455,204.2407094,2.2,0.23,0.12,10.73138886,"Mycorrhizal ","Hemicryptophyte","None",4606.547517,"Passive",0.088,"Yes","Hymenoptera (bees)","Biennial"
"Wahl_albo","Short basal",0.00454,257.4329826,1.9,0.27,0.14,12.34884991,"No obvious special uptake strategy","Hemicryptophyte","Clonal belowground",6.720972414,"Passive",NA,"Yes","Hymenoptera (bees)","Perennial"
